id;created;payed_date;period_begin_date;period_end_date;number;json_data;company_id
1;2022-01-11T22:37:39;2022-01-12T00:31:43;2022-01-11T17:49:25;2022-01-12T11:08:42;systemic;Loop;1
2;2022-01-11T16:51:50;2022-01-11T15:38:40;2022-01-12T00:51:48;2022-01-12T08:51:17;calculating;invoice;2
3;2022-01-12T13:02:40;2022-01-11T19:06:47;2022-01-11T20:15:47;2022-01-11T15:37:48;program SQL;Frozen Berkshire reciprocal;3
4;2022-01-12T00:19:39;2022-01-11T16:31:15;2022-01-12T02:40:31;2022-01-12T00:38:03;Home;Baby;4
5;2022-01-12T09:21:16;2022-01-11T21:05:49;2022-01-11T20:33:57;2022-01-12T08:28:20;1080p Horizontal web;Rand;5
6;2022-01-12T10:59:42;2022-01-11T23:11:59;2022-01-12T06:47:37;2022-01-11T16:10:15;transmitting EXE Director;Krona;6
7;2022-01-12T01:56:05;2022-01-11T16:05:13;2022-01-12T08:52:04;2022-01-12T06:40:03;Dynamic Fresh;sticky Awesome Integration;7
8;2022-01-11T17:05:01;2022-01-12T11:34:44;2022-01-12T03:38:17;2022-01-12T06:03:43;Garden Analyst Agent;auxiliary;8
9;2022-01-11T17:16:07;2022-01-12T03:20:31;2022-01-12T06:52:13;2022-01-12T13:01:27;Agent;interactive deposit Electronics;9
10;2022-01-11T18:51:53;2022-01-11T18:42:42;2022-01-12T12:34:56;2022-01-12T12:38:46;Customer;Cotton back;10
